MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
58806,2010/08/08,2011/01/03,男,4,PARIS,,FR,35.0,2014/03/31,14,148856,0,3146,46500.0,36508.0,123662,126458.08,2013/12/28,1.75,18607.0,165,95,36.23076923,196,0,0,2,1.022610665,7,7,86366,62490,3146,0,3146,3146,152002,65636,0.5,0.5,0.580194415,0.419798867,2
13606,2010/08/10,2010/08/10,男,6,MEXICO,,MX,40.0,2014/03/31,15,97700,0,13956,34040.0,10000.0,183480,125011.04,2013/10/05,1.875,12212.5,4,179,39.14285714,79,1500,500,0,0.681333333,11,4,72112,25588,13956,2000,15956,14456,113656,40044,0.26666666699999997,0.7333333329999999,0.738088658,0.261901106,3
30926,2009/03/14,2009/03/14,男,5,广州市,,CN,33.0,2014/03/31,97,101068,0,7761,63195.0,45658.0,171544,120364.3,2014/03/21,12.125,12633.5,3,11,7.46875,73,0,0,4,0.701652637,56,41,58825,42243,7761,0,7761,7761,108829,50004,0.422680412,0.5773195879999999,0.582028119,0.417961986,7
47224,2005/04/19,2005/06/30,男,6,广州市,,CN,36.0,2014/03/31,95,113153,0,15260,61926.0,44536.0,138873,117909.16,2014/03/30,11.875,14144.125,0,2,7.755319149,43,7600,22014,10,0.849043083,61,34,64394,48759,15260,29614,44874,37274,158027,86033,0.357894737,0.6421052629999999,0.569082843,0.43090832,48
27657,2006/02/02,2006/03/02,男,4,,,US,66.0,2014/03/31,25,131771,0,7590,90608.0,25884.0,109336,117501.56,2013/06/16,3.125,16471.375,70,290,15.45833333,112,0,0,4,1.074683178,20,5,99566,32205,7590,0,7590,7590,139361,39795,0.2,0.8,0.755592994,0.24439941699999998,5
27657,2006/02/02,2006/03/02,男,4,,,US,66.0,2014/03/31,25,131771,0,7590,90608.0,25884.0,109336,117501.56,2013/06/16,3.125,16471.375,70,290,15.45833333,112,0,0,4,1.074683178,20,5,99566,32205,7590,0,7590,7590,139361,39795,0.2,0.8,0.755592994,0.24439941699999998,5
30983,2012/10/17,2012/10/17,男,6,PARIS,,FR,41.0,2014/03/31,11,135718,0,9963,72000.0,87000.0,111496,117070.8,2013/12/24,1.8333333330000001,22619.66667,0,99,43.3,84,0,0,0,1.05,5,6,61690,74028,9963,0,9963,9963,145681,83991,0.545454545,0.454545455,0.454542105,0.545450526,1
58411,2009/12/12,2010/04/15,,6,MENAI,SYDNEY,AU,61.0,2014/03/31,17,135654,0,23406,30570.0,89477.0,105377,111319.85,2014/03/31,2.125,16956.75,42,1,43.0,175,0,0,2,1.0563960829999999,5,12,34204,101450,23406,0,23406,23406,159060,124856,0.705882353,0.294117647,0.252139619,0.7478530090000001,3
59295,2011/05/08,2011/05/19,男,4,MONTREUJL,,FR,48.0,2014/03/31,34,100143,0,3446,19661.0,36215.0,143761,106272.4,2013/12/10,4.25,12517.875,11,113,18.39393939,136,0,0,3,0.739229694,16,18,34301,65842,3446,0,3446,3446,103589,69288,0.529411765,0.470588235,0.342516776,0.657473239,3
35484,2005/11/02,2005/11/02,男,5,,,CN,40.0,2014/03/31,59,83991,0,14395,47635.0,29538.0,127314,105311.56,2014/02/28,7.375,10498.875,5,33,11.94827586,81,0,0,4,0.827179729,35,24,55937,28054,14395,0,14395,14395,98386,42449,0.406779661,0.5932203389999999,0.6659800929999999,0.334008001,8
35484,2005/11/02,2005/11/02,男,5,,,CN,40.0,2014/03/31,59,83991,0,14395,47635.0,29538.0,127314,105311.56,2014/02/28,7.375,10498.875,5,33,11.94827586,81,0,0,4,0.827179729,35,24,55937,28054,14395,0,14395,14395,98386,42449,0.406779661,0.5932203389999999,0.6659800929999999,0.334008001,8
28722,2012/04/18,2012/05/16,男,5,,上海,CN,55.0,2014/03/31,132,89265,0,13209,63903.0,45649.0,151273,104985.37,2014/03/27,16.5,11158.125,28,5,5.198473282,37,0,0,2,0.694012613,68,64,50273,38992,13209,0,13209,13209,102474,52201,0.484848485,0.515151515,0.563181951,0.43680684700000005,5
47095,2004/12/02,2004/12/02,男,4,东莞,广东,CN,,2014/03/31,12,123044,0,11159,45211.0,21663.0,103960,104790.76,2013/11/17,1.5,15380.5,13,136,52.90909091,135,0,500,4,1.00799115,7,5,76066,46978,11159,500,11659,11659,134703,58637,0.41666666700000005,0.583333333,0.618196595,0.38179527799999996,9
27683,2006/01/25,2006/01/25,男,6,广州,,CN,39.0,2014/03/31,128,83123,0,17385,33043.0,62528.0,147767,102320.64,2014/03/30,16.0,10390.375,6,2,5.692913386,28,0,5308,0,0.69244581,47,81,31771,51352,17385,5308,22693,22693,105816,74045,0.6328125,0.3671875,0.382212117,0.6177758529999999,5
38123,2005/04/26,2005/05/29,男,6,,,CN,59.0,2014/03/31,61,96888,0,7496,69372.0,51785.0,81113,99778.4,2014/03/15,7.625,12111.0,14,17,11.66666667,45,888,0,0,1.230116011,35,26,53962,42926,7496,888,8384,7496,105272,50422,0.426229508,0.5737704920000001,0.556946609,0.44304307,4
38123,2005/04/26,2005/05/29,男,6,,,CN,59.0,2014/03/31,61,96888,0,7496,69372.0,51785.0,81113,99778.4,2014/03/15,7.625,12111.0,14,17,11.66666667,45,888,0,0,1.230116011,35,26,53962,42926,7496,888,8384,7496,105272,50422,0.426229508,0.5737704920000001,0.556946609,0.44304307,4
39736,2008/10/20,2008/10/20,男,4,CA,,US,55.0,2014/03/31,13,55824,0,0,14913.0,17000.0,147883,96295.95,2014/03/26,1.625,6978.0,15,6,59.16666667,120,0,0,1,0.6511630820000001,6,7,23260,32564,0,0,0,0,55824,32564,0.538461538,0.46153846200000004,0.416659203,0.583322884,1
2015,2004/11/12,2004/11/12,男,6,,,CN,39.0,2014/03/31,65,89939,0,4468,40120.0,45155.0,102504,94637.85,2014/03/23,8.125,11242.375,24,9,10.90625,53,0,0,7,0.9232600679999999,31,34,39091,50848,4468,0,4468,4468,94407,55316,0.523076923,0.47692307700000003,0.434634201,0.565354681,7
2015,2004/11/12,2004/11/12,男,6,,,CN,39.0,2014/03/31,65,89939,0,4468,40120.0,45155.0,102504,94637.85,2014/03/23,8.125,11242.375,24,9,10.90625,53,0,0,7,0.9232600679999999,31,34,39091,50848,4468,0,4468,4468,94407,55316,0.523076923,0.47692307700000003,0.434634201,0.565354681,7
30355,2008/06/16,2008/06/17,男,6,广州,,CN,56.0,2014/03/31,46,90777,0,10877,11182.0,73352.0,71260,93673.72,2014/03/29,5.75,11347.125,23,3,15.66666667,127,0,0,7,1.3145343809999999,8,38,11795,78982,10877,0,10877,10877,101654,89859,0.826086957,0.17391304300000002,0.129932362,0.870056622,8
33829,2012/10/20,2012/10/21,女,5,PARIS,,FR,43.0,2014/03/31,13,100383,0,6171,8450.0,49283.0,95577,92875.74,2014/03/15,2.166666667,16730.5,1,17,42.58333333,117,0,0,0,0.9717373429999999,2,11,16134,84249,6171,0,6171,6171,106554,90420,0.846153846,0.153846154,0.16072282400000001,0.839267214,0
41700,2012/04/18,2012/05/08,男,5,,北京,CN,48.0,2014/03/31,45,88829,0,2460,45304.0,35159.0,74389,92793.6,2014/03/27,5.625,11103.625,20,5,15.65909091,87,0,0,0,1.247410235,22,23,48112,40717,2460,0,2460,2460,91289,43177,0.5111111110000001,0.488888889,0.541618822,0.45836992,0
27827,2006/06/01,2006/11/02,男,6,,北京,CN,38.0,2014/03/31,77,90946,0,9126,34515.0,45288.0,104572,91604.81,2014/03/25,9.625,11368.25,1,7,9.513157895,37,0,6636,6,0.875997495,31,46,38542,52404,9126,6636,15762,15762,106708,68166,0.597402597,0.40259740299999996,0.42378528200000004,0.576203723,18
10329,2009/12/20,2010/02/17,男,4,VICTORIA,,AU,42.0,2014/03/31,19,110137,0,0,48328.0,42928.0,86805,91468.89,2014/01/27,2.375,13767.125,93,65,31.83333333,172,0,0,0,1.053728357,8,11,52185,57952,0,0,0,0,110137,57952,0.578947368,0.42105263200000004,0.47381466899999997,0.5261762520000001,0
20157,2004/12/22,2005/04/06,男,6,,北京,CN,62.0,2014/03/31,39,87513,0,3001,30572.0,45001.0,63230,90255.89,2014/03/18,4.875,10939.125,4,14,18.76315789,85,1776,1300,3,1.4274219519999998,18,21,37561,49952,3001,3076,6077,4301,93590,54253,0.538461538,0.46153846200000004,0.429199899,0.570788674,7
4672,2010/08/19,2010/08/19,男,5,,,CN,54.0,2014/03/31,48,81431,0,2106,61294.0,18614.0,63061,88567.28,2014/03/29,6.0,10178.875,5,3,15.38297872,94,0,0,3,1.4044699580000002,35,13,61481,19950,2106,0,2106,2106,83537,22056,0.270833333,0.729166667,0.754998035,0.244989685,6
4672,2010/08/19,2010/08/19,男,5,,,CN,54.0,2014/03/31,48,81431,0,2106,61294.0,18614.0,63061,88567.28,2014/03/29,6.0,10178.875,5,3,15.38297872,94,0,0,3,1.4044699580000002,35,13,61481,19950,2106,0,2106,2106,83537,22056,0.270833333,0.729166667,0.754998035,0.244989685,6
12524,2009/09/05,2010/03/01,男,6,,,US,61.0,2014/03/31,11,96151,0,4292,76614.0,11750.0,80261,88261.26,2014/03/23,1.375,12018.875,43,9,67.9,228,0,0,1,1.09967805,8,3,78353,17798,4292,0,4292,4292,100443,22090,0.272727273,0.727272727,0.8148868459999999,0.18510275399999998,2
12524,2009/09/05,2010/03/01,男,6,,,US,61.0,2014/03/31,11,96151,0,4292,76614.0,11750.0,80261,88261.26,2014/03/23,1.375,12018.875,43,9,67.9,228,0,0,1,1.09967805,8,3,78353,17798,4292,0,4292,4292,100443,22090,0.272727273,0.727272727,0.8148868459999999,0.18510275399999998,2
38541,2006/03/28,2006/03/29,男,5,,西安,CN,43.0,2014/03/31,67,73908,0,6131,42884.0,33682.0,116848,88126.26,2014/03/31,8.375,9238.5,19,1,10.77272727,47,0,1697,1,0.754195707,36,31,42407,31501,6131,1697,7828,7828,81736,39329,0.46268656700000005,0.537313433,0.573773153,0.426213316,6
40365,2009/10/24,2009/10/24,男,5,,,HK,56.0,2014/03/31,36,79172,0,2305,21274.0,30986.0,63184,87233.04,2014/03/21,4.5,9896.5,47,11,19.22857143,94,888,2304,0,1.380619144,17,19,34927,44245,2305,3192,5497,4609,84669,48854,0.5277777779999999,0.472222222,0.441147866,0.558839503,2
40365,2009/10/24,2009/10/24,男,5,,,HK,56.0,2014/03/31,36,79172,0,2305,21274.0,30986.0,63184,87233.04,2014/03/21,4.5,9896.5,47,11,19.22857143,94,888,2304,0,1.380619144,17,19,34927,44245,2305,3192,5497,4609,84669,48854,0.5277777779999999,0.472222222,0.441147866,0.558839503,2
39255,2008/10/13,2008/10/13,男,4,LNUT,,US,57.0,2014/03/31,17,67763,0,18467,14119.0,26023.0,105518,84671.31,2014/03/19,2.125,8470.375,64,13,40.875,85,0,500,5,0.80243475,8,9,18411,49352,18467,500,18967,18967,86730,68319,0.529411765,0.470588235,0.271692934,0.7282923090000001,9
23070,2011/04/22,2011/04/29,男,6,,,HK,62.0,2014/03/31,57,69006,0,6047,15750.0,59964.0,87522,82430.79,2014/03/25,7.125,8625.75,13,7,12.69642857,101,0,0,0,0.941829369,17,40,12505,56501,6047,0,6047,6047,75053,62548,0.701754386,0.298245614,0.1812135,0.818772009,0
23070,2011/04/22,2011/04/29,男,6,,,HK,62.0,2014/03/31,57,69006,0,6047,15750.0,59964.0,87522,82430.79,2014/03/25,7.125,8625.75,13,7,12.69642857,101,0,0,0,0.941829369,17,40,12505,56501,6047,0,6047,6047,75053,62548,0.701754386,0.298245614,0.1812135,0.818772009,0
54390,2012/03/22,2012/03/22,男,6,,北京,CN,37.0,2014/03/31,72,79804,0,9303,33244.0,45580.0,65267,82107.47,2014/03/25,9.0,9975.5,3,7,10.15492958,76,22006,3147,0,1.25802427,30,42,32082,47722,9303,25153,34456,12450,114260,60172,0.583333333,0.41666666700000005,0.40200488700000003,0.597982583,14
3920,2009/05/16,2010/03/25,男,5,抚顺市,辽宁省,CN,,2014/03/31,34,78812,0,1388,29640.0,38853.0,90814,80236.84,2014/03/04,4.25,9851.5,11,28,20.96969697,37,0,0,1,0.883529412,15,19,34770,44042,1388,0,1388,1388,80200,45430,0.558823529,0.441176471,0.44117087299999996,0.558816439,1
55749,2012/03/20,2012/03/31,男,4,HONG KONG,,HK,62.0,2014/03/31,59,53304,0,4148,26742.0,41925.0,118571,79907.0,2014/03/29,7.375,6663.0,9,3,12.39655172,53,0,0,0,0.6739168940000001,23,36,22697,30607,4148,0,4148,4148,57452,34755,0.610169492,0.38983050799999996,0.425794954,0.574186286,0
14678,2011/09/27,2011/09/27,男,6,,MAKASAN RATCHTEW1,TH,52.0,2014/03/31,54,77331,0,5892,48868.0,51961.0,64470,79859.19,2014/03/26,6.75,9666.375,23,6,13.24528302,65,0,0,0,1.2387031179999999,24,30,39940,37391,5892,0,5892,5892,83223,43283,0.5555555560000001,0.444444444,0.516474422,0.483512647,1
46483,2010/05/26,2010/05/26,男,5,广州市,,CN,43.0,2014/03/31,81,68907,0,4600,29103.0,41614.0,110402,79229.88,2014/03/24,10.125,8613.375,1,8,9.025,41,11913,11295,0,0.7176489559999999,38,43,24981,43926,4600,23208,27808,15895,96715,59821,0.530864198,0.46913580200000005,0.36252684700000004,0.637458641,42
1801,2010/09/07,2010/09/07,男,6,,北京,CN,52.0,2014/03/31,13,84110,0,8780,29655.0,30360.0,74307,78320.1,2014/01/30,1.625,10513.75,22,62,53.91666667,216,800,0,1,1.054007025,8,5,46060,38050,8780,800,9580,8780,93690,46830,0.384615385,0.615384615,0.547609706,0.452378405,4
6362,2012/05/17,2012/05/17,男,5,,北京,CN,34.0,2014/03/31,78,69757,0,7773,18273.0,40317.0,92800,77732.02,2014/03/12,9.75,8719.625,0,20,8.636363636,40,0,3805,0,0.837629526,35,43,26076,43681,7773,3805,11578,11578,81335,55259,0.551282051,0.448717949,0.373806588,0.626179076,6
22634,2010/04/20,2010/04/20,男,5,,,HK,41.0,2014/03/31,49,60317,0,3945,27471.0,39801.0,106738,77698.9,2014/03/29,6.125,7539.625,5,3,15.0625,52,0,13429,0,0.727940377,18,31,21588,38729,3945,13429,17374,17374,77691,56103,0.632653061,0.367346939,0.357903113,0.6420803079999999,7
22634,2010/04/20,2010/04/20,男,5,,,HK,41.0,2014/03/31,49,60317,0,3945,27471.0,39801.0,106738,77698.9,2014/03/29,6.125,7539.625,5,3,15.0625,52,0,13429,0,0.727940377,18,31,21588,38729,3945,13429,17374,17374,77691,56103,0.632653061,0.367346939,0.357903113,0.6420803079999999,7
11015,2004/11/25,2005/07/23,男,4,東京都,,JP,69.0,2014/03/31,31,80862,0,0,63084.0,30465.0,82721,77309.41,2014/03/22,3.875,10107.75,60,10,22.03333333,85,0,6694,0,0.934580215,19,12,55927,24935,0,6694,6694,6694,87556,31629,0.387096774,0.612903226,0.6916265779999999,0.308361055,3
37819,2012/10/03,2012/11/01,男,6,Argyle,,US,63.0,2014/03/31,9,87310,0,3488,18800.0,29332.0,75093,77068.79,2014/01/25,1.5,14551.666669999999,29,67,56.25,139,0,0,0,1.026311241,2,7,30242,57068,3488,0,3488,3488,90798,60556,0.7777777779999999,0.222222222,0.346371019,0.653617528,0
22508,2009/12/08,2010/02/05,男,5,,北京,CN,34.0,2014/03/31,33,77475,0,7956,0.0,65038.0,60387,76717.75,2014/03/30,4.125,9684.375,440,2,9.03125,42,0,500,1,1.270434862,0,33,0,77475,7956,500,8456,8456,85931,85931,1.0,0.0,0.0,0.999987093,3
13609,2010/03/31,2010/04/07,男,4,,PARIS,FR,37.0,2014/03/31,12,59241,0,0,15230.0,19115.0,112511,76111.91,2014/01/21,1.5,7405.125,50,71,55.45454545,205,0,0,0,0.6764841659999999,5,7,30370,28871,0,0,0,0,59241,28871,0.583333333,0.41666666700000005,0.512643057,0.487340063,0
12997,2009/01/20,2009/01/20,女,4,,CA,US,49.0,2014/03/31,6,86074,0,0,12600.0,27000.0,73392,75593.76,2014/02/22,0.75,10759.25,202,39,98.0,297,0,0,7,1.03,2,4,30242,55832,0,0,0,0,86074,55832,0.666666667,0.333333333,0.351344757,0.648643625,7
19636,2010/06/01,2010/10/21,男,6,广州市,,CN,54.0,2014/03/31,31,70420,0,2127,51525.0,16580.0,55642,75156.05,2014/03/24,3.875,8802.5,13,8,23.66666667,89,0,0,5,1.3507072,21,10,53267,17153,2127,0,2127,2127,72547,19280,0.322580645,0.677419355,0.75640789,0.24357791,7
1351,2009/12/11,2010/04/22,男,5,,,CN,42.0,2014/03/31,55,68676,0,4620,24177.0,45819.0,83780,74837.88,2014/03/17,6.875,8584.5,51,15,12.31481481,114,1700,2348,2,0.8932666509999999,23,32,21312,47364,4620,4048,8668,6968,77344,54332,0.581818182,0.418181818,0.310322233,0.689663206,7
1351,2009/12/11,2010/04/22,男,5,,,CN,42.0,2014/03/31,55,68676,0,4620,24177.0,45819.0,83780,74837.88,2014/03/17,6.875,8584.5,51,15,12.31481481,114,1700,2348,2,0.8932666509999999,23,32,21312,47364,4620,4048,8668,6968,77344,54332,0.581818182,0.418181818,0.310322233,0.689663206,7
46230,2007/05/16,2007/07/18,男,5,北京,,CN,37.0,2014/03/31,45,72645,0,3981,15866.0,40210.0,97205,74155.24,2014/03/17,5.625,9080.625,34,15,15.5,63,0,0,0,0.7628747490000001,17,28,13811,58834,3981,0,3981,3981,76626,62815,0.622222222,0.37777777799999995,0.190113702,0.809872533,0
22759,2010/10/08,2010/10/08,男,5,,,CA,28.0,2014/03/31,69,40192,0,6110,42180.0,25700.0,122130,72750.11,2014/03/19,8.625,5024.0,12,13,10.38235294,42,0,0,3,0.595677639,40,29,23864,16328,6110,0,6110,6110,46302,22438,0.420289855,0.579710145,0.593735228,0.40623989299999996,4
22759,2010/10/08,2010/10/08,男,5,,,CA,28.0,2014/03/31,69,40192,0,6110,42180.0,25700.0,122130,72750.11,2014/03/19,8.625,5024.0,12,13,10.38235294,42,0,0,3,0.595677639,40,29,23864,16328,6110,0,6110,6110,46302,22438,0.420289855,0.579710145,0.593735228,0.40623989299999996,4
53232,2009/06/28,2009/08/16,男,5,东京都,,JP,58.0,2014/03/31,58,59580,0,1783,66139.0,47345.0,96418,72494.54,2014/03/20,7.25,7447.5,9,12,12.45614035,70,0,0,1,0.751877658,36,22,35006,24574,1783,0,1783,1783,61363,26357,0.379310345,0.620689655,0.587536295,0.412446921,1
18810,2006/04/03,2006/04/06,男,5,,,CN,45.0,2014/03/31,53,65665,0,3368,25024.0,37957.0,93161,71596.2,2014/02/24,6.625,8208.125,82,37,11.76923077,58,0,2000,3,0.768521162,20,33,26402,39263,3368,2000,5368,5368,71033,44631,0.622641509,0.377358491,0.402064996,0.597919776,7
18810,2006/04/03,2006/04/06,男,5,,,CN,45.0,2014/03/31,53,65665,0,3368,25024.0,37957.0,93161,71596.2,2014/02/24,6.625,8208.125,82,37,11.76923077,58,0,2000,3,0.768521162,20,33,26402,39263,3368,2000,5368,5368,71033,44631,0.622641509,0.377358491,0.402064996,0.597919776,7
20231,2005/03/31,2005/04/21,男,5,,,CN,46.0,2014/03/31,50,60265,0,0,35442.0,25726.0,91885,71310.75,2014/03/18,6.25,7533.125,15,14,14.32653061,110,3200,3277,5,0.7760869570000001,30,20,38211,22054,0,6477,6477,3277,66742,25331,0.4,0.6,0.6340390929999999,0.365944314,34
20231,2005/03/31,2005/04/21,男,5,,,CN,46.0,2014/03/31,50,60265,0,0,35442.0,25726.0,91885,71310.75,2014/03/18,6.25,7533.125,15,14,14.32653061,110,3200,3277,5,0.7760869570000001,30,20,38211,22054,0,6477,6477,3277,66742,25331,0.4,0.6,0.6340390929999999,0.365944314,34
49880,2011/09/28,2011/09/28,女,4,PARIS,,FR,52.0,2014/03/31,11,43655,0,0,16430.0,14800.0,111496,70343.84,2014/03/22,1.375,5456.875,185,10,53.6,119,0,0,1,0.630909091,6,5,22776,20879,0,0,0,0,43655,20879,0.454545455,0.545454545,0.5217152279999999,0.478261865,1
60584,2012/06/29,2012/07/05,男,5,,,AE,58.0,2014/03/31,15,76358,0,0,16595.0,40825.0,73334,67537.91,2014/01/28,1.875,9544.75,6,64,40.85714286,325,0,0,1,0.920963128,6,9,25119,51239,0,0,0,0,76358,51239,0.6,0.4,0.32895925800000003,0.671027646,1
60584,2012/06/29,2012/07/05,男,5,,,AE,58.0,2014/03/31,15,76358,0,0,16595.0,40825.0,73334,67537.91,2014/01/28,1.875,9544.75,6,64,40.85714286,325,0,0,1,0.920963128,6,9,25119,51239,0,0,0,0,76358,51239,0.6,0.4,0.32895925800000003,0.671027646,1
